ano;tipo;natureza;titulo;evento;anais;edicao;isbn;pais;cidade;volume;fasciculo;serie;pinicial;pfinal;idioma;url;obs;area;linha;projeto;autor;tipo;;;;;;;;;;
2014;Artigo em Conferencia;TRABALHO COMPLETO;VOCÊ ESTAVA ONLINE? RECONSTRUINDO SESSÕES DE USUÁRIOS EM SISTEMAS DE LARGA ESCALA NA INTERNET;Simpósio Brasileiro de  Redes de Computadores e Sistemas Distribuídos;XXXII Simpósio Brasileiro de  Redes de Computadores e Sistemas Distribuídos (SBRC2014);-;-;Brasil;Florianópolis;1;-;-;501;514;Português;[http://www.sbrc2014.ufsc.br/anais/index.htm];-;SISTEMAS DE COMPUTACAO;REDES DE COMPUTADORES;NÃO INFORMADO;WEVERTON LUIS DA COSTA CORDEIRO;Discente;RODRIGO BRANDAO MANSILHA;Discente;FLAVIO ROBERTO SANTOS;Participante Externo;LUCIANO PASCHOAL GASPARY;Docente;ANTONIO MARINHO PILLA BARCELLOS;Docente;;
2014;Artigo em Conferencia;TRABALHO COMPLETO;3D INTERACTION WITH CLUTTERED DATASETS;SIBGRAPI Workshop on Visual Analytics, Information Visualization and Scientific Visualization;Proceedings of the 5th WIVIS;-;-;BRASIL;Rio de Janeiro;1;-;-;-;-;Inglês;-;-;SISTEMAS DE COMPUTACAO;COMPUTAÇÃO GRÁFICA, PROCESSAMENTO DE IMAGENS E INTERAÇÃO;NÃO INFORMADO;MARCIO JOSE MELLO DA SILVA;Discente;HENRIQUE GALVAN DEBARBA;Participante Externo;ANDERSON MACIEL;Docente;LUCIANA PORCHER NEDEL;Docente;;;;
2013;Artigo em Conferencia;TRABALHO COMPLETO;VIRTUAL LABORATORY FOR TEACHING CALCULES: AN IMMERSIVE EXPERIENCE/ESTUDO DE CASO: CRIAÇÃO DE OBJETOS DE APRENDIZAGEM REUTILIZÁVEIS E CONTEXTUALIZADOS POR PROFESSORES DE MATEMÁTICA;IEEE Engineering Education Conference;2013 IEEE Global Engineering Education Conference (EDUCON);-;-;ALEMANHA;Berlin;-;-;-;774;-;Inglês;-;Quarto evento de uma série anual;SISTEMAS DE COMPUTACAO;REDES DE COMPUTADORES;NÃO INFORMADO;LIANE MARGARIDA ROCKENBACH TAROUCO;Docente;;;;;;;;;;
2013;Artigo em Conferencia;Completo;VIRTUAL LABORATORY FOR TEACHING CALCULUS: AN IMMERSIVE EXPERIENCE;2013 IEEE Global Engineering Education Conference (EDUCON);2013 IEEE Global Engineering Education Conference (EDUCON);-;-;ALEMANHA;Berlin;-;-;-;774;-;Inglês;-;Quarto evento de uma série anual;NÃO INFORMADA;NÃO INFORMADA;NÃO INFORMADO;LIANE MARGARIDA ROCKENBACH TAROUCO;Docente;;;;;;;;;;
2013;Artigo em Conferencia;RESUMO EXPANDIDO;VISUAL INTERPRETATION OF EVENTS IN PETROLEUM GEOLOGY;IEEE International Conference on Tools with Artificial Intelligence;Proceedings of the Second Interdisciplinary Workshop The Shape of Things;-;-;ALEMANHA;Rio de Janeiro;1007;-;-;189;194;Inglês;-;Much of the discussion about shape representation during the last two decades was fundamentally related to questions about the representation of parts. Inspired by the cognitive processes governing how people represent and think about parts, we give a bri;INTELIGENCIA ARTIFICIAL;INTELIGÊNCIA ARTIFICIAL;NÃO INFORMADO;JOEL LUIS CARBONERA;Discente;MARA ABEL;Docente;CLAITON MARLON DOS SANTOS SCHERER;Participante Externo;Ariane K. Bernardes;Sem categoria;;;;
2013;Artigo em Conferencia;TRABALHO COMPLETO;VISUALIZING RUNNING RACES THROUGH THE MULTIVARIATE TIME-SERIES OF MULTIPLE RUNNERS;Conference on Graphics, Patterns and Images;2013 XXVI Conference on Graphics, Patterns and Images;-;-;BRASIL;Arequipa;-;-;-;99;106;Português;-;-;SISTEMAS DE COMPUTACAO;COMPUTAÇÃO GRÁFICA, PROCESSAMENTO DE IMAGENS E INTERAÇÃO;VISUALIZAÇÃO E ANÁLISE DE SÉRIES DE DADOS TEMPORAIS ASSOCIADAS A FREQUÊNCIA CARDÍACA;GUILHERME DO NASCIMENTO OLIVEIRA;Discente;JOAO LUIZ DIHL COMBA;Docente;RAFAEL PEZZIN TORCHELSEN;Participante Externo;Maristela Padilha;Sem categoria;Claudio Silva;Sem categoria;;
2013;Artigo em Conferencia;RESUMO;WHAT IS THE EFFECT OF INTERFACE COMPLEXITY ON RISK PERCEPTION TASKS?;IEEE Virtual Reality Conference;2013 IEEE Virtual Reality (VR);-;-;ESTADOS UNIDOS;Lake Buena Vista;-;-;-;147;148;Inglês;-;-;SISTEMAS DE COMPUTACAO;COMPUTAÇÃO GRÁFICA, PROCESSAMENTO DE IMAGENS E INTERAÇÃO;NÃO INFORMADO;VITOR AUGUSTO MACHADO JORGE;Discente;ANDERSON MACIEL;Docente;LUCIANA PORCHER NEDEL;Docente;JACKSON FARIAS DE OLIVEIRA;Participante Externo;FREDERICO HEIDRICH FARIA;Participante Externo;;
2013;Artigo em Conferencia;TRABALHO COMPLETO;WIRELESSHART FAST COLLECT: A DECENTRALIZED APPROACH FOR INTERMITTENT FIELD DEVICES;11th IEEE International Conference on Industrial Informatics (INDIN);IEEE International Conference on Industrial Informatics;-;-;ALEMANHA;Bochum;-;-;-;254;-;Inglês;-;-;NÃO INFORMADA;NÃO INFORMADA;NÃO INFORMADO;IVAN MULLER;Participante Externo;JEAN MICHEL WINTER;Participante Externo;CARLOS EDUARDO PEREIRA;Docente;JOAO CESAR NETTO;Participante Externo;;;;
2013;Artigo em Conferencia;TRABALHO COMPLETO;XKAAPI: A RUNTIME SYSTEM FOR DATA-FLOW TASK PROGRAMMING ON HETEROGENEOUS ARCHITECTURES;IEEE International Parallel and Distributed Processing Symposium;2013 IEEE 27th International Symposium on Parallel and Distributed Processing;-;-;BRASIL;Cambridge;-;-;-;1299;1308;Português;-;-;SISTEMAS DE COMPUTACAO;PROCESSAMENTO PARALELO E DISTRIBUÍDO;EXASCALE COMPUTING Desempenho versus Consumo Energético, um Desafio para Arquitetura e Programação Paralela;Thierry Gautier;Sem categoria;JOAO VICENTE FERREIRA LIMA;Participante Externo;NICOLAS BRUNO MAILLARD;Docente;Bruno Raffin;Sem categoria;;;;
ano;tipo;natureza;titulo;evento;anais;edicao;isbn;pais;cidade;volume;fasciculo;serie;pinicial;pfinal;idioma;url;obs;area;linha;projeto;autor;tipo;;;;;;;;;;
